schedule_date,Flag_Score,Flag_Victory,Personal_Satisfaction_Rate
1979-12-29,24,Yes,1.0
1980-01-06,0,No,0.12
1982-01-02,0,No,0.56
1983-01-09,17,No,0.45
1997-12-28,20,Yes,1.0
1998-01-04,7,No,0.81
2000-01-15,14,Yes,1.0
2000-01-23,6,No,0.35
2000-12-31,3,No,0.66
2002-01-12,9,No,0.17
2003-01-12,31,Yes,1.0
2003-01-19,27,Yes,1.0
2003-01-26,48,Yes,1.0
2006-01-07,10,No,0.91
2008-01-06,14,No,0.84
2021-01-09,31,Yes,1.0
2021-01-17,30,Yes,1.0
2021-01-24,31,Yes,1.0
2021-02-07,31,Yes,1.0
2022-01-16,31,Yes,1.0
2022-01-23,27,No,0.98
2023-01-16,14,No,0.93
2024-01-15,32,Yes,1.0
2024-01-21,23,No,0.15
2025-01-12,20,No,0.16
